number,rotten_tomatoes_score,rotten_tomatoes_counts,metacritic_score,metacritic_counts,cinema_score,imdb_score,imdb_counts
1,100,96,95,26,A,8.3,1089101
2,92,91,78,23,A,7.2,319596
3,100,172,88,34,A+,7.9,630573
4,96,199,79,35,A+,8.1,1000657
5,99,270,90,38,A+,8.2,1132877
6,97,250,90,41,A+,8.0,828986
7,75,204,73,39,A,7.2,484034
8,96,253,96,37,A,8.1,851229
9,95,261,95,39,A,8.4,1226415
10,98,297,88,37,A+,8.3,1151249
11,98,313,92,39,A,8.3,908222
12,40,220,57,38,A-,6.2,225724
13,79,256,69,37,A,7.1,452012
14,80,203,65,41,A,7.2,398903
15,98,387,94,55,A,8.1,834268
16,75,220,66,37,A,6.7,130324
17,94,339,77,48,A,7.2,311793
18,69,234,59,41,A,6.7,128849
19,97,357,81,48,A+,8.4,618005
20,93,390,80,51,A+,7.5,341353
21,97,459,84,57,A,7.6,288783
22,88,350,64,56,A-,7.4,174917
23,95,360,83,55,,8.0,392783
24,91,303,71,52,,7.4,202404
25,95,289,83,52,,7.0,158649
26,74,319,60,57,A-,6.1,127045
27,73,262,58,45,A,7.0,140174
28,90,313,73,59,A,7.6,168090
